id,title,path,module,status,lines
ET-GAM-003,Sistema de Rangos Maya,docs/02-especificaciones-tecnicas/02-gamificacion/ET-GAM-003-rangos-maya.md,GAM,Implementado,1860
ET-EDU-001,Mecánicas de Ejercicios,docs/02-especificaciones-tecnicas/03-contenido-educativo/ET-EDU-001-mecanicas-ejercicios.md,EDU,Implementado,987
ET-EDU-002,Niveles de Dificultad,docs/02-especificaciones-tecnicas/03-contenido-educativo/ET-EDU-002-niveles-dificultad.md,EDU,Implementado,1375
ET-EDU-003,Taxonomía de Bloom,docs/02-especificaciones-tecnicas/03-contenido-educativo/ET-EDU-003-taxonomia-bloom.md,EDU,Implementado,1284
ET-PRG-001,Estados de Progreso,docs/02-especificaciones-tecnicas/04-progreso-seguimiento/ET-PRG-001-estados-progreso.md,PRG,Implementado,827
ET-PRG-002,Análisis de Desempeño,docs/02-especificaciones-tecnicas/04-progreso-seguimiento/ET-PRG-002-analisis-desempeno.md,PRG,Implementado,912
ET-SOC-001,Aulas Virtuales,docs/02-especificaciones-tecnicas/05-caracteristicas-sociales/ET-SOC-001-aulas-virtuales.md,SOC,Implementado,850
ET-SOC-002,Equipos Colaborativos,docs/02-especificaciones-tecnicas/05-caracteristicas-sociales/ET-SOC-002-equipos-colaborativos.md,SOC,Implementado,673
ET-SOC-003,Sistema de Amigos,docs/02-especificaciones-tecnicas/05-caracteristicas-sociales/ET-SOC-003-sistema-amigos.md,SOC,Implementado,663
ET-NOT-001,Tipos de Notificaciones,docs/02-especificaciones-tecnicas/06-notificaciones/ET-NOT-001-tipos-notificaciones.md,NOT,Implementado,916
ET-NOT-002,Preferencias de Notificaciones,docs/02-especificaciones-tecnicas/06-notificaciones/ET-NOT-002-preferencias-notificaciones.md,NOT,Implementado,883
ET-CNT-001,Gestión de Media,docs/02-especificaciones-tecnicas/07-contenido-media/ET-CNT-001-gestion-media.md,CNT,Implementado,274
ET-CNT-002,Tipos de Media y Procesamiento,docs/02-especificaciones-tecnicas/07-contenido-media/ET-CNT-002-tipos-media-procesamiento.md,CNT,Implementado,453
ET-CNT-003,Storage y CDN,docs/02-especificaciones-tecnicas/07-contenido-media/ET-CNT-003-storage-cdn.md,CNT,Implementado,1095
ET-AUD-001,Sistema de Auditoría,docs/02-especificaciones-tecnicas/08-auditoria-configuracion/ET-AUD-001-sistema-auditoria.md,AUD,Implementado,444
ET-AUD-002,Alertas de Notificaciones,docs/02-especificaciones-tecnicas/08-auditoria-configuracion/ET-AUD-002-alertas-notificaciones.md,AUD,Implementado,744
ET-AUD-003,Niveles de Logging,docs/02-especificaciones-tecnicas/08-auditoria-configuracion/ET-AUD-003-niveles-logging.md,AUD,Implementado,696
