Schema,Tipo,Nombre_Objeto,Prioridad,Impacto,Archivo_Origen,Accion_Requerida
gamification_system,index,03-notifications_indexes,MEDIA,Performance de notificaciones reducida,schemas/gamification_system/indexes/03-notifications_indexes.sql,Optimizar después
gamification_system,index,04-inventory_transactions_indexes,MEDIA,Performance de inventario reducida,schemas/gamification_system/indexes/04-inventory_transactions_indexes.sql,Optimizar después
gamification_system,materialized-view,99-refresh-schedule,MEDIA,Refresh automático ausente,schemas/gamification_system/materialized-views/99-refresh-schedule.sql,Planificar implementación
gamification_system,materialized-view,check-mv-freshness,BAJA,Verificación de frescura ausente,schemas/gamification_system/materialized-views/check-mv-freshness.sql,Planificar implementación
gamification_system,materialized-view,rebuild-all-mvs,BAJA,Rebuild masivo ausente,schemas/gamification_system/materialized-views/rebuild-all-mvs.sql,Planificar implementación
gamification_system,materialized-view,refresh-all-mvs,BAJA,Refresh masivo ausente,schemas/gamification_system/materialized-views/refresh-all-mvs.sql,Planificar implementación
social_features,table,01-schools,CRITICA,Escuelas ausentes,schemas/social_features/tables/01-schools.sql,VALIDAR ALCANCE - Migrar si en scope
social_features,table,02-classrooms,CRITICA,Aulas ausentes,schemas/social_features/tables/02-classrooms.sql,VALIDAR ALCANCE - Migrar si en scope
social_features,table,03-classroom_members,CRITICA,Miembros de aula ausentes,schemas/social_features/tables/03-classroom_members.sql,VALIDAR ALCANCE - Migrar si en scope
social_features,table,04-teams,CRITICA,Equipos ausentes,schemas/social_features/tables/04-teams.sql,VALIDAR ALCANCE - Migrar si en scope
social_features,table,05-team_members,CRITICA,Miembros de equipo ausentes,schemas/social_features/tables/05-team_members.sql,VALIDAR ALCANCE - Migrar si en scope
social_features,table,06-friendships,ALTA,Amistades ausentes,schemas/social_features/tables/06-friendships.sql,VALIDAR ALCANCE - Migrar si en scope
social_features,table,07-notifications,ALTA,Notificaciones ausentes,schemas/social_features/tables/07-notifications.sql,VALIDAR ALCANCE - Migrar si en scope
social_features,function,01-cleanup_old_notifications,MEDIA,Limpieza de notificaciones ausente,schemas/social_features/functions/01-cleanup_old_notifications.sql,Migrar si social_features en scope
social_features,index,01-friendships_indexes,MEDIA,Performance de amistades reducida,schemas/social_features/indexes/01-friendships_indexes.sql,Migrar si social_features en scope
social_features,index,02-classroom_members_indexes,MEDIA,Performance de miembros reducida,schemas/social_features/indexes/02-classroom_members_indexes.sql,Migrar si social_features en scope
social_features,index,03-schools_indexes,MEDIA,Performance de escuelas reducida,schemas/social_features/indexes/03-schools_indexes.sql,Migrar si social_features en scope
progress_tracking,function,02-get_user_progress_summary,ALTA,Resumen de progreso ausente,schemas/progress_tracking/functions/02-get_user_progress_summary.sql,Migrar en sprint actual
progress_tracking,function,03-update_exercise_submissions_updated_at,MEDIA,Timestamps no actualizables,schemas/progress_tracking/functions/03-update_exercise_submissions_updated_at.sql,Migrar en sprint actual
progress_tracking,function,04-check_mechanic_completion,ALTA,Verificación de completitud ausente,schemas/progress_tracking/functions/04-check_mechanic_completion.sql,Migrar en sprint actual
progress_tracking,function,06-grant_mission_completion_rewards,CRITICA,Recompensas no otorgables,schemas/progress_tracking/functions/06-grant_mission_completion_rewards.sql,Migrar inmediatamente
progress_tracking,view,01-user_progress_summary,ALTA,Vista de progreso ausente,schemas/progress_tracking/views/01-user_progress_summary.sql,Migrar en sprint actual
progress_tracking,rls-policy,02-policies,ALTA,Sin políticas de seguridad,schemas/progress_tracking/rls-policies/02-policies.sql,Migrar en sprint actual
progress_tracking,rls-policy,03-grants,ALTA,Sin permisos configurados,schemas/progress_tracking/rls-policies/03-grants.sql,Migrar en sprint actual
progress_tracking,index,01-scheduled_missions_indexes,MEDIA,Performance de misiones reducida,schemas/progress_tracking/indexes/01-scheduled_missions_indexes.sql,Optimizar después
educational_content,function,01-calculate_learning_path,ALTA,Rutas de aprendizaje no calculables,schemas/educational_content/functions/01-calculate_learning_path.sql,Migrar en sprint actual
educational_content,function,02-get_recommended_missions,ALTA,Recomendaciones ausentes,schemas/educational_content/functions/02-get_recommended_missions.sql,Migrar en sprint actual
educational_content,rls-policy,02-policies,ALTA,Sin políticas de seguridad,schemas/educational_content/rls-policies/02-policies.sql,Migrar en sprint actual
educational_content,rls-policy,03-grants,ALTA,Sin permisos configurados,schemas/educational_content/rls-policies/03-grants.sql,Migrar en sprint actual
audit_logging,function,01-log_audit_event,CRITICA,Logging de auditoría no funcional,schemas/audit_logging/functions/01-log_audit_event.sql,Migrar inmediatamente
audit_logging,rls-policy,01-enable-rls,ALTA,RLS no habilitado,schemas/audit_logging/rls-policies/01-enable-rls.sql,Migrar en sprint actual
audit_logging,rls-policy,02-policies,ALTA,Sin políticas de seguridad,schemas/audit_logging/rls-policies/02-policies.sql,Migrar en sprint actual
audit_logging,rls-policy,03-grants,ALTA,Sin permisos configurados,schemas/audit_logging/rls-policies/03-grants.sql,Migrar en sprint actual
audit_logging,index,01-audit_logs_indexes,ALTA,Performance de auditoría reducida,schemas/audit_logging/indexes/01-audit_logs_indexes.sql,Migrar en sprint actual
gamilit,function,06-is_super_admin,MEDIA,Verificación de super admin ausente,schemas/gamilit/functions/06-is_super_admin.sql,Migrar en sprint actual
gamilit,function,06-now_mexico,MEDIA,Timezone México ausente,schemas/gamilit/functions/06-now_mexico.sql,Migrar en sprint actual
gamilit,function,07-update_classroom_member_count,MEDIA,Contador de miembros ausente,schemas/gamilit/functions/07-update_classroom_member_count.sql,Migrar en sprint actual
gamilit,function,08-update_updated_at,ALTA,Trigger de actualización ausente,schemas/gamilit/functions/08-update_updated_at.sql,Migrar en sprint actual
gamilit,function,10-update_user_stats_on_exercise_complete,CRITICA,Stats no actualizables,schemas/gamilit/functions/10-update_user_stats_on_exercise_complete.sql,Migrar inmediatamente
gamilit,function,11-validate_email_format,MEDIA,Validación de email ausente,schemas/gamilit/functions/11-validate_email_format.sql,Migrar en sprint actual
content_management,rls-policy,01-enable-rls,MEDIA,RLS no habilitado,schemas/content_management/rls-policies/01-enable-rls.sql,Migrar en sprint siguiente
content_management,rls-policy,02-policies,MEDIA,Sin políticas de seguridad,schemas/content_management/rls-policies/02-policies.sql,Migrar en sprint siguiente
content_management,rls-policy,03-grants,MEDIA,Sin permisos configurados,schemas/content_management/rls-policies/03-grants.sql,Migrar en sprint siguiente
system_configuration,rls-policy,01-enable-rls,MEDIA,RLS no habilitado,schemas/system_configuration/rls-policies/01-enable-rls.sql,Migrar en sprint siguiente
system_configuration,rls-policy,02-policies,MEDIA,Sin políticas de seguridad,schemas/system_configuration/rls-policies/02-policies.sql,Migrar en sprint siguiente
system_configuration,rls-policy,03-grants,MEDIA,Sin permisos configurados,schemas/system_configuration/rls-policies/03-grants.sql,Migrar en sprint siguiente
auth,function,01-auth-helpers,MEDIA,Helpers de auth ausentes,schemas/auth/functions/01-auth-helpers.sql,Migrar en sprint siguiente
