Documento,Schema,Tabla,Existe,Fase
90-transversal/AUDIT-LOGGING-COMPLETO.md,audit_logging,audit_logs,SI,90-transversal
90-transversal/AUDIT-LOGGING-COMPLETO.md,audit_logging,user_activity_logs,SI,90-transversal
90-transversal/_MAP.md,AchievementCard,tsx,NO,90-transversal
90-transversal/_MAP.md,gamification_system,achievements,SI,90-transversal
90-transversal/_MAP.md,service,ts,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,get_user_tenant_id,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,update_classroom_member_count,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,auth_management,profiles,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,update_user_last_login,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,get_current_user_id,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,is_admin,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,update_updated_at_column,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,initialize_user_stats,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,validate_email_format,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamification_system,user_stats,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,educational_content,exercises,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,is_teacher,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,auth_management,gamilit_role,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,progress_tracking,exercise_attempts,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,set_profile_defaults,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamification_system,check_and_award_achievements,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,some_function,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,audit_profile_changes,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,social_features,classroom_members,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,is_super_admin,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,now_mexico,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,log_error,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,update_user_stats_on_exercise_complete,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamification_system,calculate_level_from_xp,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,get_current_user_role,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-GAMILIT.md,gamilit,validate_username,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,auth_management,user_roles,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,public,validate_date_range,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,public,send_notification,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,db,query,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,this,renderNewDashboard,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,audit_logging,system_logs,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,public,is_feature_enabled,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,public,log_system_event,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,auth,users,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,this,renderLegacyDashboard,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,JSON,stringify,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,dateValidator,validateDateRange,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,public,cleanup_old_system_logs,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,system_configuration,feature_flags,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,featureFlags,isFeatureEnabled,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,cron,schedule,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,redis,get,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,gamification_system,notifications,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,social_features,classroom_members,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,gamification_system,notification_delivery_queue,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,public,update_feature_flag,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,public,cleanup_old_user_activity,NO,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,audit_logging,user_activity_logs,SI,90-transversal
90-transversal/FUNCIONES-UTILITARIAS-PUBLIC.md,redis,setex,NO,90-transversal
90-transversal/STORAGE-SYSTEM.md,content_management,media_files,SI,90-transversal
90-transversal/STORAGE-SYSTEM.md,auth_management,profiles,SI,90-transversal
90-transversal/STORAGE-SYSTEM.md,this,getBucketName,NO,90-transversal
90-transversal/STORAGE-SYSTEM.md,gamification_system,achievements,SI,90-transversal
90-transversal/STORAGE-SYSTEM.md,educational_content,media_resources,SI,90-transversal
90-transversal/features/FEATURES-PENDIENTES.md,React,lazy,NO,90-transversal
90-transversal/features/FEATURES-IMPLEMENTADAS.md,router,get,NO,90-transversal
90-transversal/features/FEATURES-IMPLEMENTADAS.md,router,post,NO,90-transversal
90-transversal/features/_MAP.md,system_configuration,feature_flags,SI,90-transversal
90-transversal/roadmap/ROADMAP-GENERAL.md,submission,answer_data,SI,90-transversal
90-transversal/roadmap/ROADMAP-GENERAL.md,exercise,solution,SI,90-transversal
90-transversal/roadmap/ROADMAP-GENERAL.md,exercise,content,SI,90-transversal
90-transversal/roadmap/ROADMAP-GENERAL.md,exercise,comodines_config,SI,90-transversal
90-transversal/roadmap/ROADMAP-GENERAL.md,exercise,config,SI,90-transversal
90-transversal/roadmap/ROADMAP-GENERAL.md,user_stats,metadata,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,localStorage,setItem,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,authService,register,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,jwt,verify,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,social_features,friendships,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,social_features,team_challenges,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,logger,error,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,client,query,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,res,status,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,app,use,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,allowedOrigins,includes,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,educational_content,exercises,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,JSON,stringify,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,gamification_system,leaderboards,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,gamification_system,achievements,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,current_rank,toUpperCase,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,Connection,parseE,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,social_features,team_members,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,crypto,createHash,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,router,post,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,router,get,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,DOMPurify,sanitize,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,sessionService,validateSession,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,res,cookie,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,localStorage,removeItem,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,gamification_system,badges,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,service,ts,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,educational_content,submissions,SI,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,pool,query,NO,90-transversal
90-transversal/correcciones/ISSUES-CRITICOS.md,localStorage,getItem,NO,90-transversal
03-fase-extensiones/EXT-007-lti-integration/README.md,auth_management,tenants,SI,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,lti_integration,lti_resources,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,lti_integration,lti_grade_passback_log,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,auth_management,users,SI,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,lti_integration,lti_platforms,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,educational_content,exercises,SI,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,lti_integration,lti_contexts,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,educational_content,modules,SI,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/README.md,lti_integration,lti_launches,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-002-grade-passback.md,ExerciseService,completeAttempt,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-002-grade-passback.md,ltiService,getLTIContext,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-002-grade-passback.md,exerciseService,getAttempt,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-002-grade-passback.md,this,logGradePassback,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-002-grade-passback.md,this,getAccessToken,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-002-grade-passback.md,axios,post,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,ltiService,findPlatformByIssuer,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,auth_management,users,SI,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,JSON,stringify,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,searchParams,set,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,authUrl,toString,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,cryptoService,generateSecureToken,NO,03-fase-extensiones
03-fase-extensiones/EXT-007-lti-integration/historias-usuario/US-LTI-001-oidc-login.md,redis,setex,NO,03-fase-extensiones
03-fase-extensiones/EXT-010-parent-notifications/README.md,auth_management,parent_accounts,NO,03-fase-extensiones
03-fase-extensiones/EXT-010-parent-notifications/README.md,notifications,parent_notifications,NO,03-fase-extensiones
03-fase-extensiones/EXT-010-parent-notifications/README.md,auth_management,users,SI,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/README.md,README,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,notifications,filter,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,socket,disconnect,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,notificationTypes,forEach,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,FULL,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,e,stopPropagation,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,type,startsWith,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,type,split,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001b-notification-center.md,socket,on,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,console,log,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,notifications,create,SI,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,pubClient,duplicate,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,socket,join,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,priorityQueue,add,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,io,on,SI,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,rateLimiter,check,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,notifications,findMany,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,io,to,SI,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,this,checkDuplicate,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,FULL,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,NotificationService,getUnread,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,io,adapter,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,socket,emit,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,io,use,SI,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001a-websocket-infrastructure.md,socket,on,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,preferencesService,updatePreferences,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,preferencesService,getPreferences,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,z,object,SI,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,FULL,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,subscription,unsubscribe,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,preferencesService,resetToDefaults,NO,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,z,boolean,SI,03-fase-extensiones
03-fase-extensiones/EXT-003-notificaciones/historias-usuario/US-NOT-001c-preferences-management.md,z,enum,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/README.md,README,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-004-data-warehouse-etl.md,airflow,operators,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-004-data-warehouse-etl.md,aprendizaje,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,transform,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,api,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,aprendizaje,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,risk_predictor,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,predictor,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,explainability,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,extract,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,recommendation_engine,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,completion_projector,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,score_forecaster,py,NO,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-003-analytics-predictivo.md,load,py,SI,03-fase-extensiones
03-fase-extensiones/EXT-005-reportes/historias-usuario/US-REP-002-analytics-admin.md,page,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-006-contenido/README.md,README,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-005-import-export.md,Mammoth,js,NO,03-fase-extensiones
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-005-import-export.md,PDF,js,NO,03-fase-extensiones
03-fase-extensiones/EXT-006-contenido/historias-usuario/US-CONT-001-editor-wysiwyg.md,page,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-009-peer-challenges/README.md,auth_management,users,SI,03-fase-extensiones
03-fase-extensiones/EXT-009-peer-challenges/README.md,progress_tracking,exercise_attempts,SI,03-fase-extensiones
03-fase-extensiones/EXT-009-peer-challenges/README.md,educational_content,exercises,SI,03-fase-extensiones
03-fase-extensiones/EXT-009-peer-challenges/README.md,social_features,peer_challenges,NO,03-fase-extensiones
03-fase-extensiones/EXT-009-peer-challenges/README.md,social_features,challenge_attempts,NO,03-fase-extensiones
03-fase-extensiones/EXT-004-perfiles/README.md,README,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-003-accesibilidad-gamificacion.md,page,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-001-personalizacion-perfil.md,page,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-004-perfiles/historias-usuario/US-PERF-002-seguridad-cuenta.md,page,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/README.md,README,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,ProgressChart,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,TeacherNotes,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,GradingInterface,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,ClassroomList,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,social_features,classroom_enrollments,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,educational_content,assignment_submissions,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,educational_content,assignments,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,ReportGenerator,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,GradingQueue,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,AssignmentCreator,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,progress_tracking,teacher_notes,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,social_features,classrooms,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,ClassroomDetail,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,EngagementMetrics,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,StudentEnrollment,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/_MAP.md,ClassroomAnalytics,tsx,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,assignments,teacher_id,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,public,assignment_students,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,assignment_exercises,exercise_id,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,public,assignment_exercises,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,auth,users,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,assignment_submissions,student_id,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,assignment_students,student_id,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,assignment_classrooms,classroom_id,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,educational_content,exercises,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,TRACEABILITY,yml,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,assignment_submissions,graded_by,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,public,teacher_notes,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,public,assignment_classrooms,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,public,assignments,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,social_features,classrooms,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/requerimientos/RF-TEACH-002-assignment-system.md,public,assignment_submissions,SI,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003a-grading-queue.md,now,getTime,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003a-grading-queue.md,submittedAt,getTime,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003a-grading-queue.md,Math,abs,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003a-grading-queue.md,Math,ceil,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003a-grading-queue.md,FULL,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-003b-grading-interface.md,FULL,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-001b-student-enrollment.md,FULL,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005c-engagement-metrics.md,FULL,md,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005c-engagement-metrics.md,Math,round,NO,03-fase-extensiones
03-fase-extensiones/EXT-001-portal-maestros/historias-usuario/US-PM-005c-engagement-metrics.md,Math,min,NO,03-fase-extensiones
