old_id,new_id,old_path,new_path,module,status
RF-PRG-002,M-PRG-REQ-002,docs/01-requerimientos/04-progreso-seguimiento/RF-PRG-002-analisis-desempeno.md,docs/modules/PRG/req/base/M-PRG-REQ-002.md,PRG,SUCCESS
RF-SOC-001,M-SOC-REQ-001,docs/01-requerimientos/05-caracteristicas-sociales/RF-SOC-001-aulas-virtuales.md,docs/modules/SOC/req/base/M-SOC-REQ-001.md,SOC,SUCCESS
RF-SOC-002,M-SOC-REQ-002,docs/01-requerimientos/05-caracteristicas-sociales/RF-SOC-002-equipos-colaborativos.md,docs/modules/SOC/req/base/M-SOC-REQ-002.md,SOC,SUCCESS
RF-SOC-003,M-SOC-REQ-003,docs/01-requerimientos/05-caracteristicas-sociales/RF-SOC-003-sistema-amigos.md,docs/modules/SOC/req/base/M-SOC-REQ-003.md,SOC,SUCCESS
RF-NOT-001,M-NOT-REQ-001,docs/01-requerimientos/06-notificaciones/RF-NOT-001-tipos-notificaciones.md,docs/modules/NOT/req/base/M-NOT-REQ-001.md,NOT,SUCCESS
RF-NOT-002,M-NOT-REQ-002,docs/01-requerimientos/06-notificaciones/RF-NOT-002-preferencias-notificaciones.md,docs/modules/NOT/req/base/M-NOT-REQ-002.md,NOT,SUCCESS
RF-CNT-001,M-CNT-REQ-001,docs/01-requerimientos/07-contenido-media/RF-CNT-001-gestion-media.md,docs/modules/CNT/req/base/M-CNT-REQ-001.md,CNT,SUCCESS
RF-CNT-002,M-CNT-REQ-002,docs/01-requerimientos/07-contenido-media/RF-CNT-002-tipos-media-procesamiento.md,docs/modules/CNT/req/base/M-CNT-REQ-002.md,CNT,SUCCESS
RF-CNT-003,M-CNT-REQ-003,docs/01-requerimientos/07-contenido-media/RF-CNT-003-storage-cdn.md,docs/modules/CNT/req/base/M-CNT-REQ-003.md,CNT,SUCCESS
RF-AUD-001,M-AUD-REQ-001,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-001-sistema-auditoria.md,docs/modules/AUD/req/base/M-AUD-REQ-001.md,AUD,SUCCESS
RF-AUD-002,M-AUD-REQ-002,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-002-alertas-notificaciones.md,docs/modules/AUD/req/base/M-AUD-REQ-002.md,AUD,SUCCESS
RF-AUD-003,M-AUD-REQ-003,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-003-niveles-logging.md,docs/modules/AUD/req/base/M-AUD-REQ-003.md,AUD,SUCCESS
RF-AUD-004,M-AUD-REQ-004,docs/01-requerimientos/08-auditoria-configuracion/RF-AUD-004-retencion-datos.md,docs/modules/AUD/req/base/M-AUD-REQ-004.md,AUD,SUCCESS
RF-CFG-001,M-CFG-REQ-001,docs/01-requerimientos/08-auditoria-configuracion/RF-CFG-001-sistema-configuracion.md,docs/modules/CFG/req/base/M-CFG-REQ-001.md,CFG,SUCCESS
ET-AUTH-001,M-AUTH-ET-001,docs/02-especificaciones-tecnicas/01-autenticacion-autorizacion/ET-AUTH-001-rbac.md,docs/modules/AUTH/spec/M-AUTH-ET-001.md,AUTH,SUCCESS
ET-AUTH-002,M-AUTH-ET-002,docs/02-especificaciones-tecnicas/01-autenticacion-autorizacion/ET-AUTH-002-estados-cuenta.md,docs/modules/AUTH/spec/M-AUTH-ET-002.md,AUTH,SUCCESS
ET-AUTH-003,M-AUTH-ET-003,docs/02-especificaciones-tecnicas/01-autenticacion-autorizacion/ET-AUTH-003-oauth.md,docs/modules/AUTH/spec/M-AUTH-ET-003.md,AUTH,SUCCESS
ET-GAM-001,M-GAM-ET-001,docs/02-especificaciones-tecnicas/02-gamificacion/ET-GAM-001-achievements.md,docs/modules/GAM/spec/M-GAM-ET-001.md,GAM,SUCCESS
ET-GAM-002,M-GAM-ET-002,docs/02-especificaciones-tecnicas/02-gamificacion/ET-GAM-002-comodines.md,docs/modules/GAM/spec/M-GAM-ET-002.md,GAM,SUCCESS
ET-GAM-003,M-GAM-ET-003,docs/02-especificaciones-tecnicas/02-gamificacion/ET-GAM-003-rangos-maya.md,docs/modules/GAM/spec/M-GAM-ET-003.md,GAM,SUCCESS
ET-EDU-001,M-EDU-ET-001,docs/02-especificaciones-tecnicas/03-contenido-educativo/ET-EDU-001-mecanicas-ejercicios.md,docs/modules/EDU/spec/M-EDU-ET-001.md,EDU,SUCCESS
ET-EDU-002,M-EDU-ET-002,docs/02-especificaciones-tecnicas/03-contenido-educativo/ET-EDU-002-niveles-dificultad.md,docs/modules/EDU/spec/M-EDU-ET-002.md,EDU,SUCCESS
ET-EDU-003,M-EDU-ET-003,docs/02-especificaciones-tecnicas/03-contenido-educativo/ET-EDU-003-taxonomia-bloom.md,docs/modules/EDU/spec/M-EDU-ET-003.md,EDU,SUCCESS
ET-PRG-001,M-PRG-ET-001,docs/02-especificaciones-tecnicas/04-progreso-seguimiento/ET-PRG-001-estados-progreso.md,docs/modules/PRG/spec/M-PRG-ET-001.md,PRG,SUCCESS
ET-PRG-002,M-PRG-ET-002,docs/02-especificaciones-tecnicas/04-progreso-seguimiento/ET-PRG-002-analisis-desempeno.md,docs/modules/PRG/spec/M-PRG-ET-002.md,PRG,SUCCESS
ET-SOC-001,M-SOC-ET-001,docs/02-especificaciones-tecnicas/05-caracteristicas-sociales/ET-SOC-001-aulas-virtuales.md,docs/modules/SOC/spec/M-SOC-ET-001.md,SOC,SUCCESS
ET-SOC-002,M-SOC-ET-002,docs/02-especificaciones-tecnicas/05-caracteristicas-sociales/ET-SOC-002-equipos-colaborativos.md,docs/modules/SOC/spec/M-SOC-ET-002.md,SOC,SUCCESS
ET-SOC-003,M-SOC-ET-003,docs/02-especificaciones-tecnicas/05-caracteristicas-sociales/ET-SOC-003-sistema-amigos.md,docs/modules/SOC/spec/M-SOC-ET-003.md,SOC,SUCCESS
ET-NOT-001,M-NOT-ET-001,docs/02-especificaciones-tecnicas/06-notificaciones/ET-NOT-001-tipos-notificaciones.md,docs/modules/NOT/spec/M-NOT-ET-001.md,NOT,SUCCESS
ET-NOT-002,M-NOT-ET-002,docs/02-especificaciones-tecnicas/06-notificaciones/ET-NOT-002-preferencias-notificaciones.md,docs/modules/NOT/spec/M-NOT-ET-002.md,NOT,SUCCESS
ET-CNT-001,M-CNT-ET-001,docs/02-especificaciones-tecnicas/07-contenido-media/ET-CNT-001-gestion-media.md,docs/modules/CNT/spec/M-CNT-ET-001.md,CNT,SUCCESS
ET-CNT-002,M-CNT-ET-002,docs/02-especificaciones-tecnicas/07-contenido-media/ET-CNT-002-tipos-media-procesamiento.md,docs/modules/CNT/spec/M-CNT-ET-002.md,CNT,SUCCESS
ET-CNT-003,M-CNT-ET-003,docs/02-especificaciones-tecnicas/07-contenido-media/ET-CNT-003-storage-cdn.md,docs/modules/CNT/spec/M-CNT-ET-003.md,CNT,SUCCESS
ET-AUD-001,M-AUD-ET-001,docs/02-especificaciones-tecnicas/08-auditoria-configuracion/ET-AUD-001-sistema-auditoria.md,docs/modules/AUD/spec/M-AUD-ET-001.md,AUD,SUCCESS
ET-AUD-002,M-AUD-ET-002,docs/02-especificaciones-tecnicas/08-auditoria-configuracion/ET-AUD-002-alertas-notificaciones.md,docs/modules/AUD/spec/M-AUD-ET-002.md,AUD,SUCCESS
ET-AUD-003,M-AUD-ET-003,docs/02-especificaciones-tecnicas/08-auditoria-configuracion/ET-AUD-003-niveles-logging.md,docs/modules/AUD/spec/M-AUD-ET-003.md,AUD,SUCCESS
